student_id,last_name,first_name,course,batch_year,email
2024-01-0001,Boren,Andrew,BSIT,2024,andrew.boren01@alumni.bcp.edu.ph
2024-01-0002,Boggs,Bobbie,BSIT,2024,bobbie.boggs02@alumni.bcp.edu.ph
2024-01-0003,Booker,Christian,BSIT,2024,christian.booker03@alumni.bcp.edu.ph
2024-01-0004,Best,Chris,BSIT,2024,chris.best04@alumni.bcp.edu.ph
2024-01-0005,Barron,Calvin,BSIT,2024,calvin.barron05@alumni.bcp.edu.ph
2024-01-0006,Becker,Aileen,BSIT,2024,aileen.becker06@alumni.bcp.edu.ph
2024-01-0007,Bolton,Clifton,BSIT,2024,clifton.bolton07@alumni.bcp.edu.ph
2024-01-0008,Blake,Chad,BSIT,2024,chad.blake08@alumni.bcp.edu.ph
2024-01-0009,Bonner,Cory,BSIT,2024,cory.bonner09@alumni.bcp.edu.ph
2024-01-0010,Brewer,Darren,BSIT,2024,darren.brewer10@alumni.bcp.edu.ph
2024-02-0001,Bratton,Cristina,BSCS,2024,cristina.bratton01@alumni.bcp.edu.ph
2024-02-0002,Breen,Bridget,BSCS,2024,bridget.breen02@alumni.bcp.edu.ph
2024-02-0003,Boyer,Claudia,BSCS,2024,claudia.boyer03@alumni.bcp.edu.ph
2024-02-0004,Bowers,Bessie,BSCS,2024,bessie.bowers04@alumni.bcp.edu.ph
2024-02-0005,Bray,Brandon,BSCS,2024,brandon.bray05@alumni.bcp.edu.ph
2024-02-0006,Brackett,Daniel,BSCS,2024,daniel.brackett06@alumni.bcp.edu.ph
2024-02-0007,Ayala,Casey,BSCS,2024,casey.ayala07@alumni.bcp.edu.ph
2024-02-0008,Battle,Angela,BSCS,2024,angela.battle08@alumni.bcp.edu.ph
2024-02-0009,Banks,Carmen,BSCS,2024,carmen.banks09@alumni.bcp.edu.ph
2024-02-0010,Brady,Connie,BSCS,2024,connie.brady10@alumni.bcp.edu.ph
2024-03-0001,Bender,Darlene,BSBA,2024,darlene.bender01@alumni.bcp.edu.ph
2024-03-0002,Ashley,Adrian,BSBA,2024,adrian.ashley02@alumni.bcp.edu.ph
2024-03-0003,Boykin,Amanda,BSBA,2024,amanda.boykin03@alumni.bcp.edu.ph
2024-03-0004,Barrera,Cody,BSBA,2024,cody.barrera04@alumni.bcp.edu.ph
2024-03-0005,Ballard,Brian,BSBA,2024,brian.ballard05@alumni.bcp.edu.ph
2024-03-0006,Bolan,Brent,BSBA,2024,brent.bolan06@alumni.bcp.edu.ph
2024-03-0007,Anthony,Clifford,BSBA,2024,clifford.anthony07@alumni.bcp.edu.ph
2024-03-0008,Atkins,Christina,BSBA,2024,christina.atkins08@alumni.bcp.edu.ph
2024-03-0009,Alston,Clarence,BSBA,2024,clarence.alston09@alumni.bcp.edu.ph
2024-03-0010,Block,Brenda,BSBA,2024,brenda.block10@alumni.bcp.edu.ph
2024-04-0001,Baxter,Danielle,BSHM,2024,danielle.baxter01@alumni.bcp.edu.ph
2024-04-0002,Botts,Bruce,BSHM,2024,bruce.botts02@alumni.bcp.edu.ph
2024-04-0003,Brennan,Barry,BSHM,2024,barry.brennan03@alumni.bcp.edu.ph
2024-04-0004,Baird,Audrey,BSHM,2024,audrey.baird04@alumni.bcp.edu.ph
2024-04-0005,Bostick,Betty,BSHM,2024,betty.bostick05@alumni.bcp.edu.ph
2024-04-0006,Boyce,Arlene,BSHM,2024,arlene.boyce06@alumni.bcp.edu.ph
2024-04-0007,Barlow,Belinda,BSHM,2024,belinda.barlow07@alumni.bcp.edu.ph
2024-04-0008,Bowen,Antonio,BSHM,2024,antonio.bowen08@alumni.bcp.edu.ph
2024-04-0009,Blankenship,Conrad,BSHM,2024,conrad.blankenship09@alumni.bcp.edu.ph
2024-04-0010,Bass,Billy,BSHM,2024,billy.bass10@alumni.bcp.edu.ph
2024-05-0001,Adams,Clyde,BSTM,2024,clyde.adams01@alumni.bcp.edu.ph
2024-05-0002,Barker,Anna,BSTM,2024,anna.barker02@alumni.bcp.edu.ph
2024-05-0003,Blackwell,Corey,BSTM,2024,corey.blackwell03@alumni.bcp.edu.ph
2024-05-0004,Bowling,Beatrice,BSTM,2024,beatrice.bowling04@alumni.bcp.edu.ph
2024-05-0005,Bell,Bernard,BSTM,2024,bernard.bell05@alumni.bcp.edu.ph
2024-05-0006,Abbott,Catherine,BSTM,2024,catherine.abbott06@alumni.bcp.edu.ph
2024-05-0007,Bauer,Dana,BSTM,2024,dana.bauer07@alumni.bcp.edu.ph
2024-05-0008,Barry,Bobby,BSTM,2024,bobby.barry08@alumni.bcp.edu.ph
2024-05-0009,Barber,Clayton,BSTM,2024,clayton.barber09@alumni.bcp.edu.ph
2024-05-0010,Bradbury,Charlotte,BSTM,2024,charlotte.bradbury10@alumni.bcp.edu.ph
2024-06-0001,Bowman,Danny,BSOA,2024,danny.bowman01@alumni.bcp.edu.ph
2024-06-0002,Boone,Clinton,BSOA,2024,clinton.boone02@alumni.bcp.edu.ph
2024-06-0003,Brashears,Cindy,BSOA,2024,cindy.brashears03@alumni.bcp.edu.ph
2024-06-0004,Bentley,Carolyn,BSOA,2024,carolyn.bentley04@alumni.bcp.edu.ph
2024-06-0005,Austin,Celia,BSOA,2024,celia.austin05@alumni.bcp.edu.ph
2024-06-0006,Bowden,Bernice,BSOA,2024,bernice.bowden06@alumni.bcp.edu.ph
2024-06-0007,Boyd,Dallas,BSOA,2024,dallas.boyd07@alumni.bcp.edu.ph
2024-06-0008,Adkins,Clara,BSOA,2024,clara.adkins08@alumni.bcp.edu.ph
2024-06-0009,Breckenridge,Bryan,BSOA,2024,bryan.breckenridge09@alumni.bcp.edu.ph
2024-06-0010,Blevins,Becky,BSOA,2024,becky.blevins10@alumni.bcp.edu.ph
2024-07-0001,Allison,Blanche,BSCrim,2024,blanche.allison01@alumni.bcp.edu.ph
2024-07-0002,Bean,Daisy,BSCrim,2024,daisy.bean02@alumni.bcp.edu.ph
2024-07-0003,Baker,Amy,BSCrim,2024,amy.baker03@alumni.bcp.edu.ph
2024-07-0004,Ball,Darrell,BSCrim,2024,darrell.ball04@alumni.bcp.edu.ph
2024-07-0005,Brannon,Arthur,BSCrim,2024,arthur.brannon05@alumni.bcp.edu.ph
2024-07-0006,Brandt,Darin,BSCrim,2024,darin.brandt06@alumni.bcp.edu.ph
2024-07-0007,Bishop,Carole,BSCrim,2024,carole.bishop07@alumni.bcp.edu.ph
2024-07-0008,Barrett,Cassandra,BSCrim,2024,cassandra.barrett08@alumni.bcp.edu.ph
2024-07-0009,Arnold,Benjamin,BSCrim,2024,benjamin.arnold09@alumni.bcp.edu.ph
2024-07-0010,Anderson,Brett,BSCrim,2024,brett.anderson10@alumni.bcp.edu.ph
2024-08-0001,Boyles,Beth,BSEd,2024,beth.boyles01@alumni.bcp.edu.ph
2024-08-0002,Berry,Alfred,BSEd,2024,alfred.berry02@alumni.bcp.edu.ph
2024-08-0003,Blanchard,Christine,BSEd,2024,christine.blanchard03@alumni.bcp.edu.ph
2024-08-0004,Beasley,Charlene,BSEd,2024,charlene.beasley04@alumni.bcp.edu.ph
2024-08-0005,Andrews,Alvin,BSEd,2024,alvin.andrews05@alumni.bcp.edu.ph
2024-08-0006,Bounds,Alex,BSEd,2024,alex.bounds06@alumni.bcp.edu.ph
2024-08-0007,Bradford,Carla,BSEd,2024,carla.bradford07@alumni.bcp.edu.ph
2024-08-0008,Branham,Carol,BSEd,2024,carol.branham08@alumni.bcp.edu.ph
2024-08-0009,Barton,Dale,BSEd,2024,dale.barton09@alumni.bcp.edu.ph
2024-08-0010,Branch,Aaron,BSEd,2024,aaron.branch10@alumni.bcp.edu.ph
2024-09-0001,Boothe,Cecilia,BSPsych,2024,cecilia.boothe01@alumni.bcp.edu.ph
