student_id,last_name,first_name,course,batch_year,email
2024-10-0001,Aguilar,Cora,BSA,2024,cora.aguilar01@alumni.bcp.edu.ph
2024-10-0002,Boston,Cathy,BSA,2024,cathy.boston02@alumni.bcp.edu.ph
2024-10-0003,Barnard,Alexander,BSA,2024,alexander.barnard03@alumni.bcp.edu.ph
2024-10-0004,Brantley,Chloe,BSA,2024,chloe.brantley04@alumni.bcp.edu.ph
2024-10-0005,Barnett,Constance,BSA,2024,constance.barnett05@alumni.bcp.edu.ph
2024-10-0006,Allen,Crystal,BSA,2024,crystal.allen06@alumni.bcp.edu.ph
2024-10-0007,Borders,Christopher,BSA,2024,christopher.borders07@alumni.bcp.edu.ph
2024-10-0008,Beck,Candace,BSA,2024,candace.beck08@alumni.bcp.edu.ph
2024-10-0009,Blair,Britney,BSA,2024,britney.blair09@alumni.bcp.edu.ph
2024-10-0010,Brewster,Chester,BSA,2024,chester.brewster10@alumni.bcp.edu.ph
