student_id,last_name,first_name,course,batch_year,email
2024-03-0001,Bender,Darlene,BSBA,2024,darlene.bender01@alumni.bcp.edu.ph
2024-03-0002,Ashley,Adrian,BSBA,2024,adrian.ashley02@alumni.bcp.edu.ph
2024-03-0003,Boykin,Amanda,BSBA,2024,amanda.boykin03@alumni.bcp.edu.ph
2024-03-0004,Barrera,Cody,BSBA,2024,cody.barrera04@alumni.bcp.edu.ph
2024-03-0005,Ballard,Brian,BSBA,2024,brian.ballard05@alumni.bcp.edu.ph
2024-03-0006,Bolan,Brent,BSBA,2024,brent.bolan06@alumni.bcp.edu.ph
2024-03-0007,Anthony,Clifford,BSBA,2024,clifford.anthony07@alumni.bcp.edu.ph
2024-03-0008,Atkins,Christina,BSBA,2024,christina.atkins08@alumni.bcp.edu.ph
2024-03-0009,Alston,Clarence,BSBA,2024,clarence.alston09@alumni.bcp.edu.ph
2024-03-0010,Block,Brenda,BSBA,2024,brenda.block10@alumni.bcp.edu.ph
