student_id,last_name,first_name,course,batch_year,email
2024-07-0001,Allison,Blanche,BSCrim,2024,blanche.allison01@alumni.bcp.edu.ph
2024-07-0002,Bean,Daisy,BSCrim,2024,daisy.bean02@alumni.bcp.edu.ph
2024-07-0003,Baker,Amy,BSCrim,2024,amy.baker03@alumni.bcp.edu.ph
2024-07-0004,Ball,Darrell,BSCrim,2024,darrell.ball04@alumni.bcp.edu.ph
2024-07-0005,Brannon,Arthur,BSCrim,2024,arthur.brannon05@alumni.bcp.edu.ph
2024-07-0006,Brandt,Darin,BSCrim,2024,darin.brandt06@alumni.bcp.edu.ph
2024-07-0007,Bishop,Carole,BSCrim,2024,carole.bishop07@alumni.bcp.edu.ph
2024-07-0008,Barrett,Cassandra,BSCrim,2024,cassandra.barrett08@alumni.bcp.edu.ph
2024-07-0009,Arnold,Benjamin,BSCrim,2024,benjamin.arnold09@alumni.bcp.edu.ph
2024-07-0010,Anderson,Brett,BSCrim,2024,brett.anderson10@alumni.bcp.edu.ph
