student_id,last_name,first_name,course,batch_year,email
2024-02-0001,Bratton,Cristina,BSCS,2024,cristina.bratton01@alumni.bcp.edu.ph
2024-02-0002,Breen,Bridget,BSCS,2024,bridget.breen02@alumni.bcp.edu.ph
2024-02-0003,Boyer,Claudia,BSCS,2024,claudia.boyer03@alumni.bcp.edu.ph
2024-02-0004,Bowers,Bessie,BSCS,2024,bessie.bowers04@alumni.bcp.edu.ph
2024-02-0005,Bray,Brandon,BSCS,2024,brandon.bray05@alumni.bcp.edu.ph
2024-02-0006,Brackett,Daniel,BSCS,2024,daniel.brackett06@alumni.bcp.edu.ph
2024-02-0007,Ayala,Casey,BSCS,2024,casey.ayala07@alumni.bcp.edu.ph
2024-02-0008,Battle,Angela,BSCS,2024,angela.battle08@alumni.bcp.edu.ph
2024-02-0009,Banks,Carmen,BSCS,2024,carmen.banks09@alumni.bcp.edu.ph
2024-02-0010,Brady,Connie,BSCS,2024,connie.brady10@alumni.bcp.edu.ph
