student_id,last_name,first_name,course,batch_year,email
2024-13-0001,Bennett,Billie,BSCustoms,2024,billie.bennett01@alumni.bcp.edu.ph
2024-13-0002,Bobo,Claire,BSCustoms,2024,claire.bobo02@alumni.bcp.edu.ph
2024-13-0003,Borden,Anita,BSCustoms,2024,anita.borden03@alumni.bcp.edu.ph
2024-13-0004,Bowles,Alma,BSCustoms,2024,alma.bowles04@alumni.bcp.edu.ph
2024-13-0005,Bond,Courtney,BSCustoms,2024,courtney.bond05@alumni.bcp.edu.ph
2024-13-0006,Benton,Andrea,BSCustoms,2024,andrea.benton06@alumni.bcp.edu.ph
2024-13-0007,Bradshaw,Charles,BSCustoms,2024,charles.bradshaw07@alumni.bcp.edu.ph
2024-13-0008,Blue,Byron,BSCustoms,2024,byron.blue08@alumni.bcp.edu.ph
2024-13-0009,Black,Christy,BSCustoms,2024,christy.black09@alumni.bcp.edu.ph
2024-13-0010,Boucher,Claude,BSCustoms,2024,claude.boucher10@alumni.bcp.edu.ph
