student_id,last_name,first_name,course,batch_year,email
2024-08-0001,Boyles,Beth,BSEd,2024,beth.boyles01@alumni.bcp.edu.ph
2024-08-0002,Berry,Alfred,BSEd,2024,alfred.berry02@alumni.bcp.edu.ph
2024-08-0003,Blanchard,Christine,BSEd,2024,christine.blanchard03@alumni.bcp.edu.ph
2024-08-0004,Beasley,Charlene,BSEd,2024,charlene.beasley04@alumni.bcp.edu.ph
2024-08-0005,Andrews,Alvin,BSEd,2024,alvin.andrews05@alumni.bcp.edu.ph
2024-08-0006,Bounds,Alex,BSEd,2024,alex.bounds06@alumni.bcp.edu.ph
2024-08-0007,Bradford,Carla,BSEd,2024,carla.bradford07@alumni.bcp.edu.ph
2024-08-0008,Branham,Carol,BSEd,2024,carol.branham08@alumni.bcp.edu.ph
2024-08-0009,Barton,Dale,BSEd,2024,dale.barton09@alumni.bcp.edu.ph
2024-08-0010,Branch,Aaron,BSEd,2024,aaron.branch10@alumni.bcp.edu.ph
