student_id,last_name,first_name,course,batch_year,email
2024-11-0001,Boynton,Barbara,BSEntrep,2024,barbara.boynton01@alumni.bcp.edu.ph
2024-11-0002,Berger,Ann,BSEntrep,2024,ann.berger02@alumni.bcp.edu.ph
2024-11-0003,Alvarado,Bernadette,BSEntrep,2024,bernadette.alvarado03@alumni.bcp.edu.ph
2024-11-0004,Bozeman,Anthony,BSEntrep,2024,anthony.bozeman04@alumni.bcp.edu.ph
2024-11-0005,Booth,Bertha,BSEntrep,2024,bertha.booth05@alumni.bcp.edu.ph
2024-11-0006,Bradley,Charlie,BSEntrep,2024,charlie.bradley06@alumni.bcp.edu.ph
2024-11-0007,Barr,Caroline,BSEntrep,2024,caroline.barr07@alumni.bcp.edu.ph
2024-11-0008,Ayers,Bradley,BSEntrep,2024,bradley.ayers08@alumni.bcp.edu.ph
2024-11-0009,Beard,Craig,BSEntrep,2024,craig.beard09@alumni.bcp.edu.ph
2024-11-0010,Bourne,Carrie,BSEntrep,2024,carrie.bourne10@alumni.bcp.edu.ph
