student_id,last_name,first_name,course,batch_year,email
2024-04-0001,Baxter,Danielle,BSHM,2024,danielle.baxter01@alumni.bcp.edu.ph
2024-04-0002,Botts,Bruce,BSHM,2024,bruce.botts02@alumni.bcp.edu.ph
2024-04-0003,Brennan,Barry,BSHM,2024,barry.brennan03@alumni.bcp.edu.ph
2024-04-0004,Baird,Audrey,BSHM,2024,audrey.baird04@alumni.bcp.edu.ph
2024-04-0005,Bostick,Betty,BSHM,2024,betty.bostick05@alumni.bcp.edu.ph
2024-04-0006,Boyce,Arlene,BSHM,2024,arlene.boyce06@alumni.bcp.edu.ph
2024-04-0007,Barlow,Belinda,BSHM,2024,belinda.barlow07@alumni.bcp.edu.ph
2024-04-0008,Bowen,Antonio,BSHM,2024,antonio.bowen08@alumni.bcp.edu.ph
2024-04-0009,Blankenship,Conrad,BSHM,2024,conrad.blankenship09@alumni.bcp.edu.ph
2024-04-0010,Bass,Billy,BSHM,2024,billy.bass10@alumni.bcp.edu.ph
