student_id,last_name,first_name,course,batch_year,email
2024-01-0001,Boren,Andrew,BSIT,2024,andrew.boren01@alumni.bcp.edu.ph
2024-01-0002,Boggs,Bobbie,BSIT,2024,bobbie.boggs02@alumni.bcp.edu.ph
2024-01-0003,Booker,Christian,BSIT,2024,christian.booker03@alumni.bcp.edu.ph
2024-01-0004,Best,Chris,BSIT,2024,chris.best04@alumni.bcp.edu.ph
2024-01-0005,Barron,Calvin,BSIT,2024,calvin.barron05@alumni.bcp.edu.ph
2024-01-0006,Becker,Aileen,BSIT,2024,aileen.becker06@alumni.bcp.edu.ph
2024-01-0007,Bolton,Clifton,BSIT,2024,clifton.bolton07@alumni.bcp.edu.ph
2024-01-0008,Blake,Chad,BSIT,2024,chad.blake08@alumni.bcp.edu.ph
2024-01-0009,Bonner,Cory,BSIT,2024,cory.bonner09@alumni.bcp.edu.ph
2024-01-0010,Brewer,Darren,BSIT,2024,darren.brewer10@alumni.bcp.edu.ph
