student_id,last_name,first_name,course,batch_year,email
2024-06-0001,Bowman,Danny,BSOA,2024,danny.bowman01@alumni.bcp.edu.ph
2024-06-0002,Boone,Clinton,BSOA,2024,clinton.boone02@alumni.bcp.edu.ph
2024-06-0003,Brashears,Cindy,BSOA,2024,cindy.brashears03@alumni.bcp.edu.ph
2024-06-0004,Bentley,Carolyn,BSOA,2024,carolyn.bentley04@alumni.bcp.edu.ph
2024-06-0005,Austin,Celia,BSOA,2024,celia.austin05@alumni.bcp.edu.ph
2024-06-0006,Bowden,Bernice,BSOA,2024,bernice.bowden06@alumni.bcp.edu.ph
2024-06-0007,Boyd,Dallas,BSOA,2024,dallas.boyd07@alumni.bcp.edu.ph
2024-06-0008,Adkins,Clara,BSOA,2024,clara.adkins08@alumni.bcp.edu.ph
2024-06-0009,Breckenridge,Bryan,BSOA,2024,bryan.breckenridge09@alumni.bcp.edu.ph
2024-06-0010,Blevins,Becky,BSOA,2024,becky.blevins10@alumni.bcp.edu.ph
