student_id,last_name,first_name,course,batch_year,email
2024-09-0001,Boothe,Cecilia,BSPsych,2024,cecilia.boothe01@alumni.bcp.edu.ph
2024-09-0002,Bragg,Cecil,BSPsych,2024,cecil.bragg02@alumni.bcp.edu.ph
2024-09-0003,Armstrong,Colleen,BSPsych,2024,colleen.armstrong03@alumni.bcp.edu.ph
2024-09-0004,Bost,Cheryl,BSPsych,2024,cheryl.bost04@alumni.bcp.edu.ph
2024-09-0005,Benjamin,Anne,BSPsych,2024,anne.benjamin05@alumni.bcp.edu.ph
2024-09-0006,Bostic,Carl,BSPsych,2024,carl.bostic06@alumni.bcp.edu.ph
2024-09-0007,Avery,Bonnie,BSPsych,2024,bonnie.avery07@alumni.bcp.edu.ph
2024-09-0008,Bates,Ashley,BSPsych,2024,ashley.bates08@alumni.bcp.edu.ph
2024-09-0009,Beach,Cynthia,BSPsych,2024,cynthia.beach09@alumni.bcp.edu.ph
2024-09-0010,Blum,Abigail,BSPsych,2024,abigail.blum10@alumni.bcp.edu.ph
