student_id,last_name,first_name,course,batch_year,email
2024-12-0001,Barnes,Alicia,BSRealEstate,2024,alicia.barnes01@alumni.bcp.edu.ph
2024-12-0002,Bartlett,Camilla,BSRealEstate,2024,camilla.bartlett02@alumni.bcp.edu.ph
2024-12-0003,Bird,Albert,BSRealEstate,2024,albert.bird03@alumni.bcp.edu.ph
2024-12-0004,Bogan,Carlos,BSRealEstate,2024,carlos.bogan04@alumni.bcp.edu.ph
2024-12-0005,Alford,Amber,BSRealEstate,2024,amber.alford05@alumni.bcp.edu.ph
2024-12-0006,Boling,Adam,BSRealEstate,2024,adam.boling06@alumni.bcp.edu.ph
2024-12-0007,Baldwin,Brittany,BSRealEstate,2024,brittany.baldwin07@alumni.bcp.edu.ph
2024-12-0008,Bailey,Daphne,BSRealEstate,2024,daphne.bailey08@alumni.bcp.edu.ph
2024-12-0009,Bernard,Beverly,BSRealEstate,2024,beverly.bernard09@alumni.bcp.edu.ph
2024-12-0010,Alvarez,Curtis,BSRealEstate,2024,curtis.alvarez10@alumni.bcp.edu.ph
