student_id,last_name,first_name,course,batch_year,email
2024-05-0001,Adams,Clyde,BSTM,2024,clyde.adams01@alumni.bcp.edu.ph
2024-05-0002,Barker,Anna,BSTM,2024,anna.barker02@alumni.bcp.edu.ph
2024-05-0003,Blackwell,Corey,BSTM,2024,corey.blackwell03@alumni.bcp.edu.ph
2024-05-0004,Bowling,Beatrice,BSTM,2024,beatrice.bowling04@alumni.bcp.edu.ph
2024-05-0005,Bell,Bernard,BSTM,2024,bernard.bell05@alumni.bcp.edu.ph
2024-05-0006,Abbott,Catherine,BSTM,2024,catherine.abbott06@alumni.bcp.edu.ph
2024-05-0007,Bauer,Dana,BSTM,2024,dana.bauer07@alumni.bcp.edu.ph
2024-05-0008,Barry,Bobby,BSTM,2024,bobby.barry08@alumni.bcp.edu.ph
2024-05-0009,Barber,Clayton,BSTM,2024,clayton.barber09@alumni.bcp.edu.ph
2024-05-0010,Bradbury,Charlotte,BSTM,2024,charlotte.bradbury10@alumni.bcp.edu.ph
