StudentID,LastName,FirstName,Course,BatchYear
2020-00001,Dela Cruz,Juan,BSIT,2024
2020-00002,Santos,Maria,BSIT,2024
2020-00003,Reyes,Carlos,BSIT,2023
2020-00004,Garcia,Ana,BSIT,2023
2020-00005,Mendoza,Jose,BSIT,2022
2020-00006,Villanueva,Mark,BSCS,2024
2020-00007,Bautista,Lea,BSCS,2024
2020-00008,Ramos,Paolo,BSCS,2023
2020-00009,Cruz,Diana,BSCS,2023
2020-00010,Torres,Miguel,BSCS,2022
2020-00011,Aquino,Patricia,BSBA,2024
2020-00012,Rivera,Roberto,BSBA,2024
2020-00013,Lopez,Christine,BSBA,2023
2020-00014,Fernandez,Daniel,BSBA,2023
2020-00015,Castro,Grace,BSBA,2022
2020-00016,Manalo,Kevin,BSHM,2024
2020-00017,Perez,Jasmine,BSHM,2024
2020-00018,Gonzales,Bryan,BSHM,2023
2020-00019,Navarro,Sophia,BSHM,2023
2020-00020,Pascual,Adrian,BSHM,2022
2020-00021,Morales,Trisha,BSTM,2024
2020-00022,De Leon,Marco,BSTM,2024
2020-00023,Santiago,Katrina,BSTM,2023
2020-00024,Flores,Ryan,BSTM,2023
2020-00025,Soriano,Michelle,BSTM,2022
2020-00026,Dizon,Francis,BSOA,2024
2020-00027,Lim,Cherry,BSOA,2024
2020-00028,Tan,Jericho,BSOA,2023
2020-00029,Ong,Bianca,BSOA,2023
2020-00030,Sy,Rafael,BSOA,2022
2020-00031,Salazar,Jerome,BSCrim,2024
2020-00032,Dominguez,Angela,BSCrim,2024
2020-00033,Mercado,Nathan,BSCrim,2023
2020-00034,Aguilar,Denise,BSCrim,2023
2020-00035,Valdez,Christian,BSCrim,2022
2020-00036,Hernandez,Rose,BSEd,2024
2020-00037,Miranda,John,BSEd,2024
2020-00038,Castillo,Nicole,BSEd,2023
2020-00039,Jimenez,Edward,BSEd,2023
2020-00040,Gutierrez,Camille,BSEd,2022
2020-00041,Padilla,Victor,BSPsych,2024
2020-00042,Espino,Hannah,BSPsych,2024
2020-00043,Rojas,Gabriel,BSPsych,2023
2020-00044,Vargas,Kimberly,BSPsych,2023
2020-00045,Corpuz,Lance,BSPsych,2022
2020-00046,Ignacio,Clarisse,BSA,2024
2020-00047,Tolentino,Kenneth,BSA,2024
2020-00048,Cortez,Joanna,BSA,2023
2020-00049,Magno,Cedric,BSA,2023
2020-00050,Panganiban,Erica,BSA,2022
2020-00051,Serrano,Alexis,BSEntrep,2024
2020-00052,Alvarado,Pauline,BSEntrep,2024
2020-00053,Medina,Jansen,BSEntrep,2023
2020-00054,Ibarra,Dianne,BSEntrep,2023
2020-00055,Luna,Benedict,BSEntrep,2022
2020-00056,Estrada,Sheena,BSRealEstate,2024
2020-00057,Ramirez,Andrei,BSRealEstate,2024
2020-00058,Villegas,Krystal,BSRealEstate,2023
2020-00059,Carpio,Leandro,BSRealEstate,2023
2020-00060,Buenaventura,Mica,BSRealEstate,2022
2020-00061,Ocampo,Daryl,BSCustoms,2024
2020-00062,Del Rosario,Althea,BSCustoms,2024
2020-00063,Francisco,Renz,BSCustoms,2023
2020-00064,Ventura,Samantha,BSCustoms,2023
2020-00065,Magsaysay,Enrique,BSCustoms,2022
